Bulbasaur,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
16,14,15,13,40,1340,143,0.9791
17,14,15,12,40,1337,143,0.9791
18,15,15,15,39,1338,144,0.9789
19,14,15,15,39.5,1338,144,0.9789
20,14,15,14,39.5,1335,144,0.9789
4096,0,0,0,40,1093,133,0.726
,,,,,,,
Hippowdon,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,14,10,18.5,1499,143,1
2,0,11,14,18.5,1500,145,0.9991
3,0,15,9,18.5,1499,142,0.9979
4,0,12,13,18.5,1500,144,0.9972
5,0,12,12,18.5,1497,144,0.9972
6,1,12,10,18.5,1499,143,0.9952
7,0,13,11,18.5,1498,143,0.9951
8,0,13,10,18.5,1495,143,0.9951
9,0,10,15,18.5,1499,145,0.9942
10,0,10,14,18.5,1496,145,0.9942
11,1,9,14,18.5,1500,145,0.9942
12,1,13,9,18.5,1499,142,0.9931
13,0,14,9,18.5,1496,142,0.993
14,4,14,14,18,1499,143,0.9923
15,3,15,15,18,1498,143,0.9923
16,3,15,14,18,1495,143,0.9923
17,1,10,13,18.5,1500,144,0.9923
18,1,10,12,18.5,1497,144,0.9923
19,0,11,13,18.5,1497,144,0.9923
20,0,11,12,18.5,1494,144,0.9923
4096,15,2,4,17.5,1460,135,0.9035
,,,,,,,
Skorupi,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,1009,106,1
2,15,14,15,40,1006,106,0.994
3,15,15,15,39.5,1002,106,0.9929
4,14,15,15,40,1000,106,0.9907
5,15,15,14,40,1006,105,0.9906
6,15,15,13,40,1002,105,0.9906
7,15,13,15,40,1003,106,0.988
8,15,14,15,39.5,999,106,0.9869
9,14,14,15,40,997,106,0.9848
10,15,14,14,40,1003,105,0.9846
11,15,14,13,40,999,105,0.9846
12,14,15,15,39.5,993,106,0.9837
13,15,15,14,39.5,998,105,0.9835
14,15,12,15,40,1000,106,0.9819
15,13,15,15,40,991,106,0.9815
16,14,15,14,40,996,105,0.9814
17,14,15,13,40,992,105,0.9814
18,15,15,12,40,998,104,0.9811
19,15,13,15,39.5,996,106,0.9809
20,14,13,15,40,994,106,0.9788
4096,0,0,0,40,781,94,0.6946
,,,,,,,
Drapion,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,2,15,14,23,1500,119,1
2,0,9,15,23.5,1499,121,0.9991
3,0,14,11,23.5,1500,118,0.9974
4,0,12,12,23.5,1497,119,0.9965
5,0,10,14,23.5,1498,120,0.9955
6,2,14,14,23,1497,119,0.9954
7,1,7,15,23.5,1500,121,0.9951
8,1,15,15,23,1496,119,0.9945
9,1,15,14,23,1492,119,0.9945
10,1,14,9,23.5,1500,117,0.9944
11,0,8,15,23.5,1495,121,0.9943
12,0,15,10,23.5,1500,117,0.9935
13,0,15,9,23.5,1495,117,0.9935
14,0,13,11,23.5,1497,118,0.9928
15,1,10,12,23.5,1499,119,0.9927
16,0,11,13,23.5,1498,119,0.9919
17,0,11,12,23.5,1494,119,0.9919
18,1,8,14,23.5,1500,120,0.9916
19,2,15,13,23,1496,118,0.9916
20,3,12,14,23,1498,119,0.9916
4096,15,3,0,22.5,1470,108,0.8986
,,,,,,,
Croagunk,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,952,117,1
2,15,15,15,39.5,945,117,0.9929
3,14,15,15,40,945,117,0.9924
4,15,15,14,40,949,116,0.9915
5,15,15,13,40,946,116,0.9915
6,15,14,15,40,947,117,0.989
7,14,15,15,39.5,938,117,0.9853
8,13,15,15,40,938,117,0.9847
9,15,15,14,39.5,942,116,0.9844
10,14,15,14,40,942,116,0.9839
11,14,15,13,40,939,116,0.9839
12,15,15,12,40,943,115,0.9829
13,15,14,15,39.5,940,117,0.9819
14,14,14,15,40,940,117,0.9815
15,15,14,14,40,944,116,0.9806
16,15,14,13,40,941,116,0.9806
17,15,13,15,40,942,117,0.978
18,13,15,15,39.5,931,117,0.9777
19,15,15,15,39,939,116,0.9773
20,15,15,14,39,935,116,0.9773
4096,0,0,0,40,731,105,0.6637
,,,,,,,
Toxicroak,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,1,15,15,22.5,1500,133,1
2,0,15,15,22.5,1493,133,0.9953
3,1,14,15,22.5,1495,133,0.9932
4,1,15,14,22.5,1497,132,0.9925
5,2,13,15,22.5,1497,133,0.9911
6,0,10,15,23,1500,134,0.9904
7,2,14,14,22.5,1499,132,0.9904
8,0,11,13,23,1498,133,0.9899
9,2,15,13,22.5,1500,131,0.9896
10,2,15,12,22.5,1496,131,0.9896
11,0,12,12,23,1500,132,0.9893
12,3,12,15,22.5,1499,133,0.989
13,0,13,10,23,1498,131,0.9886
14,0,14,15,22.5,1488,133,0.9886
15,3,13,14,22.5,1500,132,0.9883
16,0,15,14,22.5,1489,132,0.9878
17,0,14,9,23,1499,130,0.9878
18,0,14,8,23,1496,130,0.9878
19,1,10,13,23,1500,133,0.9877
20,3,14,12,22.5,1498,131,0.9875
4096,15,0,2,22.5,1468,124,0.8932
,,,,,,,
Carnivine,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,14,13,26.5,1500,132,1
2,2,15,15,26,1500,132,0.9982
3,0,12,15,26.5,1498,133,0.9941
4,0,13,14,26.5,1499,132,0.9933
5,0,13,13,26.5,1495,132,0.9933
6,1,15,15,26,1492,132,0.993
7,0,14,12,26.5,1496,131,0.9924
8,1,12,13,26.5,1498,132,0.9919
9,2,14,15,26,1495,132,0.9916
10,0,15,11,26.5,1497,130,0.9914
11,1,13,12,26.5,1499,131,0.9911
12,2,15,14,26,1497,131,0.9907
13,3,13,15,26,1498,132,0.9902
14,1,14,11,26.5,1500,130,0.9901
15,3,14,14,26,1499,131,0.9893
16,0,13,7,27,1499,129,0.9891
17,1,15,9,26.5,1497,129,0.989
18,3,15,12,26,1497,130,0.9883
19,0,14,6,27,1500,128,0.988
20,2,14,9,26.5,1500,129,0.9877
4096,15,2,0,26,1473,121,0.8938
,,,,,,,
Finneon,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,971,118,1
2,15,15,15,39.5,964,118,0.9929
3,15,14,15,40,968,118,0.9924
4,15,15,14,40,968,117,0.9915
5,14,15,15,40,963,118,0.991
6,15,14,15,39.5,961,118,0.9853
7,15,13,15,40,964,118,0.9847
8,15,15,14,39.5,961,117,0.9844
9,15,14,14,40,964,117,0.984
10,14,15,15,39.5,956,118,0.9839
11,14,14,15,40,959,118,0.9834
12,15,15,13,40,965,116,0.9831
13,15,15,12,40,962,116,0.9831
14,14,15,14,40,959,117,0.9826
15,13,15,15,40,954,118,0.982
16,15,13,15,39.5,957,118,0.9777
17,15,15,15,39,957,117,0.9774
18,15,12,15,40,960,118,0.9771
19,15,14,14,39.5,957,117,0.9769
20,14,14,15,39.5,952,118,0.9764
4096,0,0,0,40,750,106,0.688
,,,,,,,
Lumineon,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,15,12,34.5,1499,138,1
2,0,15,15,34,1500,139,0.9994
3,0,15,14,34,1496,139,0.9994
4,1,15,15,33.5,1498,139,0.9986
5,0,12,15,34.5,1499,140,0.998
6,0,13,14,34.5,1499,139,0.9964
7,1,13,14,34,1498,139,0.9956
8,0,14,10,35,1498,137,0.995
9,0,10,14,35,1498,140,0.9947
10,0,14,13,34.5,1499,138,0.9946
11,0,14,12,34.5,1495,138,0.9946
12,0,14,15,34,1496,139,0.994
13,0,14,14,34,1492,139,0.994
14,1,14,13,34,1498,138,0.9938
15,1,14,15,33.5,1494,139,0.9932
16,0,15,9,35,1498,136,0.9931
17,0,11,13,35,1498,139,0.9931
18,0,15,11,34.5,1495,137,0.9928
19,0,11,15,34.5,1495,140,0.9926
20,0,15,13,34,1492,138,0.9923
4096,15,1,2,32,1489,127,0.9041
,,,,,,,
Mantyke,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,1248,113,1
2,15,14,15,40,1245,113,0.9948
3,14,15,15,40,1237,113,0.9917
4,15,15,14,40,1243,112,0.9912
5,15,13,15,40,1241,113,0.9897
6,14,14,15,40,1234,113,0.9866
7,15,14,14,40,1240,112,0.986
8,15,12,15,40,1238,113,0.9845
9,15,15,15,39.5,1239,112,0.9841
10,13,15,15,40,1227,113,0.9833
11,14,15,14,40,1233,112,0.9829
12,15,15,13,40,1239,111,0.9823
13,14,13,15,40,1231,113,0.9814
14,15,13,14,40,1237,112,0.9809
15,15,11,15,40,1235,113,0.9794
16,15,14,15,39.5,1236,112,0.979
17,13,14,15,40,1224,113,0.9783
18,14,14,14,40,1230,112,0.9778
19,15,14,13,40,1236,111,0.9772
20,15,15,15,39,1230,112,0.977
4096,0,0,0,40,992,101,0.7216
,,,,,,,
Snover,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,1159,134,1
2,15,15,14,40,1156,133,0.9925
3,14,15,15,40,1150,134,0.9923
4,15,14,15,40,1154,134,0.9917
5,15,15,15,39.5,1151,133,0.9855
6,15,15,14,39.5,1148,133,0.9855
7,15,15,13,40,1152,132,0.9851
8,14,15,14,40,1147,133,0.9849
9,13,15,15,40,1141,134,0.9846
10,15,14,14,40,1151,133,0.9843
11,14,14,15,40,1145,134,0.984
12,15,13,15,40,1149,134,0.9833
13,15,15,15,39,1143,133,0.9784
14,15,15,13,39.5,1144,132,0.978
15,14,15,15,39.5,1142,133,0.9779
16,14,15,14,39.5,1139,133,0.9779
17,15,15,12,40,1149,131,0.9776
18,15,15,11,40,1145,131,0.9776
19,14,15,13,40,1143,132,0.9775
20,13,15,14,40,1138,133,0.9773
4096,0,0,0,40,916,122,0.7047
,,,,,,,
Abomasnow,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,15,15,24,1494,145,1
2,1,14,15,24,1498,145,0.9998
3,0,15,8,24.5,1500,142,0.9997
4,1,15,14,24,1499,144,0.9987
5,0,10,14,24.5,1499,146,0.9982
6,2,15,12,24,1500,143,0.9973
7,0,11,13,24.5,1500,145,0.9972
8,0,12,11,24.5,1498,144,0.9962
9,0,13,10,24.5,1499,143,0.9951
10,0,14,15,24,1489,145,0.9942
11,1,13,15,24,1493,145,0.994
12,0,14,9,24.5,1500,142,0.9939
13,0,14,8,24.5,1496,142,0.9939
14,2,12,15,24,1497,145,0.9937
15,1,13,8,24.5,1500,142,0.9937
16,0,15,14,24,1490,144,0.9931
17,1,14,14,24,1494,144,0.9929
18,5,15,14,23.5,1500,143,0.9928
19,0,15,7,24.5,1497,141,0.9927
20,2,13,14,24,1498,144,0.9927
4096,15,1,1,23.5,1471,134,0.9017
,,,,,,,
Mega Abomasnow,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,14,13,16.5,1500,119,1
2,0,12,15,16.5,1500,120,0.9986
3,0,15,11,16.5,1497,118,0.9964
4,1,14,11,16.5,1500,118,0.9957
5,0,13,14,16.5,1500,119,0.9951
6,0,13,13,16.5,1497,119,0.9951
7,1,12,13,16.5,1499,119,0.9944
8,0,11,15,16.5,1496,120,0.9936
9,1,10,15,16.5,1499,120,0.9928
10,1,15,10,16.5,1500,117,0.9921
11,1,15,9,16.5,1496,117,0.9921
12,0,14,12,16.5,1497,118,0.9916
13,0,14,11,16.5,1493,118,0.9916
14,2,14,9,16.5,1499,117,0.9914
15,1,13,12,16.5,1499,118,0.9909
16,1,13,11,16.5,1496,118,0.9909
17,6,15,14,16,1498,118,0.9904
18,0,12,14,16.5,1496,119,0.9902
19,0,12,13,16.5,1493,119,0.9902
20,2,12,11,16.5,1499,118,0.9901
4096,14,0,4,16,1455,112,0.8999
,,,,,,,
Weavile,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,15,15,18.5,1496,107,1
2,2,15,13,18.5,1500,106,0.9988
3,1,14,15,18.5,1498,107,0.9987
4,2,13,15,18.5,1500,107,0.9974
5,1,15,14,18.5,1498,106,0.9947
6,1,15,13,18.5,1494,106,0.9947
7,0,14,15,18.5,1492,107,0.9946
8,0,9,12,19,1499,107,0.9939
9,2,14,14,18.5,1500,106,0.9934
10,2,14,13,18.5,1496,106,0.9934
11,3,15,11,18.5,1498,105,0.9934
12,1,13,15,18.5,1494,107,0.9933
13,0,14,7,19,1499,104,0.9929
14,3,13,13,18.5,1498,106,0.9921
15,4,14,11,18.5,1500,105,0.9921
16,0,7,14,19,1499,108,0.992
17,2,12,15,18.5,1496,107,0.992
18,0,12,9,19,1499,105,0.9916
19,4,12,13,18.5,1500,106,0.9907
20,0,15,14,18.5,1492,106,0.9907
4096,15,1,0,18.5,1464,98,0.8992
,,,,,,,
Magnezone,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,13,15,17.5,1500,104,1
2,0,15,13,17.5,1499,103,0.9995
3,0,12,15,17.5,1497,104,0.9954
4,1,11,15,17.5,1500,104,0.995
5,0,14,14,17.5,1500,103,0.9949
6,0,14,13,17.5,1496,103,0.9949
7,1,13,13,17.5,1498,103,0.9945
8,1,15,11,17.5,1497,102,0.9939
9,2,14,11,17.5,1500,102,0.9935
10,0,11,15,17.5,1493,104,0.9908
11,0,13,14,17.5,1496,103,0.9904
12,0,13,13,17.5,1492,103,0.9904
13,1,10,15,17.5,1496,104,0.9904
14,0,9,8,18,1500,102,0.9903
15,1,12,14,17.5,1499,103,0.99
16,1,12,13,17.5,1495,103,0.99
17,2,9,15,17.5,1499,104,0.9899
18,0,15,12,17.5,1495,102,0.9898
19,0,15,11,17.5,1491,102,0.9898
20,2,11,13,17.5,1498,103,0.9895
4096,15,5,0,17,1458,94,0.8991
,,,,,,,
Lickilicky,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,15,10,23.5,1500,163,1
2,0,11,15,23.5,1499,166,0.9976
3,2,15,14,23,1498,164,0.997
4,0,12,14,23.5,1500,165,0.9968
5,0,12,13,23.5,1497,165,0.9968
6,0,13,12,23.5,1498,164,0.9959
7,0,14,11,23.5,1499,163,0.9949
8,0,14,10,23.5,1496,163,0.9949
9,1,15,7,23.5,1500,161,0.9939
10,0,15,9,23.5,1497,162,0.9939
11,3,13,14,23,1500,164,0.9928
12,1,10,13,23.5,1499,165,0.9926
13,0,10,15,23.5,1495,166,0.9924
14,3,14,13,23,1500,163,0.9919
15,2,14,15,23,1497,164,0.9919
16,2,14,14,23,1494,164,0.9919
17,1,11,12,23.5,1500,164,0.9917
18,0,11,14,23.5,1496,165,0.9916
19,0,11,13,23.5,1493,165,0.9916
20,0,14,1,24,1500,159,0.9912
4096,15,4,2,22,1468,152,0.9008
,,,,,,,
Rhyperior,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,14,14,15,1500,137,1
2,0,15,13,15,1500,136,0.9976
3,0,15,12,15,1498,136,0.9976
4,1,14,12,15,1500,136,0.9968
5,0,13,15,15,1499,137,0.9951
6,0,13,14,15,1496,137,0.9951
7,1,15,10,15,1498,135,0.9943
8,1,12,14,15,1498,137,0.9943
9,0,14,13,15,1497,136,0.9927
10,0,14,12,15,1494,136,0.9927
11,1,13,13,15,1499,136,0.9919
12,1,13,12,15,1496,136,0.9919
13,2,12,12,15,1499,136,0.9911
14,2,15,8,15,1498,134,0.9911
15,0,15,11,15,1495,135,0.9902
16,0,15,10,15,1492,135,0.9902
17,0,12,15,15,1495,137,0.9902
18,0,12,14,15,1492,137,0.9902
19,1,14,11,15,1497,135,0.9895
20,1,14,10,15,1494,135,0.9895
4096,15,0,2,14.5,1452,128,0.8936
,,,,,,,
Tangrowth,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,1,15,15,18.5,1500,137,1
2,1,15,14,18.5,1497,137,1
3,2,14,14,18.5,1500,137,0.9998
4,2,15,12,18.5,1498,136,0.9975
5,0,13,7,19,1500,135,0.997
6,0,7,14,19,1499,139,0.9953
7,0,15,15,18.5,1493,137,0.9952
8,0,15,14,18.5,1490,137,0.9952
9,1,14,15,18.5,1496,137,0.995
10,1,14,14,18.5,1493,137,0.995
11,3,15,10,18.5,1499,135,0.9949
12,2,13,15,18.5,1500,137,0.9947
13,2,13,14,18.5,1497,137,0.9947
14,0,14,6,19,1500,134,0.9947
15,3,12,14,18.5,1500,137,0.9944
16,0,11,9,19,1499,136,0.9942
17,0,8,13,19,1500,138,0.9933
18,0,8,12,19,1497,138,0.9933
19,1,7,12,19,1500,138,0.9929
20,1,15,13,18.5,1494,136,0.9927
4096,15,1,2,18,1461,128,0.902
,,,,,,,
Electivire,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,1,15,15,18,1499,111,1
2,0,15,15,18,1493,111,0.996
3,1,14,15,18,1495,111,0.9944
4,2,13,15,18,1497,111,0.9927
5,3,12,15,18,1499,111,0.991
6,1,15,14,18,1496,110,0.991
7,0,14,15,18,1489,111,0.9904
8,0,14,7,18.5,1499,108,0.9904
9,3,15,12,18,1500,109,0.9898
10,2,14,14,18,1497,110,0.9894
11,4,11,15,18,1500,111,0.9893
12,1,13,15,18,1491,111,0.9888
13,0,12,9,18.5,1498,109,0.9883
14,3,13,14,18,1499,110,0.9877
15,2,12,15,18,1493,111,0.9871
16,0,15,14,18,1490,110,0.987
17,0,15,6,18.5,1499,107,0.9868
18,1,11,9,18.5,1500,109,0.9866
19,0,7,15,18.5,1500,112,0.9865
20,0,7,14,18.5,1496,112,0.9865
4096,15,1,0,18,1461,102,0.8941
,,,,,,,
Magmortar,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,10,15,18,1498,111,1
2,0,15,10,18,1499,108,0.9997
3,1,9,15,18,1500,111,0.9985
4,0,13,12,18,1499,109,0.9982
5,4,15,15,17.5,1500,109,0.9968
6,0,11,14,18,1498,110,0.9964
7,1,10,14,18,1500,110,0.995
8,0,9,15,18,1494,111,0.9945
9,1,15,8,18,1497,107,0.9945
10,0,14,11,18,1499,108,0.9944
11,0,14,10,18,1495,108,0.9944
12,2,14,8,18,1499,107,0.9931
13,1,13,10,18,1497,108,0.993
14,1,8,15,18,1496,111,0.993
15,3,15,15,17.5,1494,109,0.9929
16,0,12,13,18,1498,109,0.9928
17,0,12,12,18,1495,109,0.9928
18,2,12,10,18,1499,108,0.9916
19,5,15,13,17.5,1498,108,0.9916
20,4,14,15,17.5,1496,109,0.9915
4096,15,1,3,17.5,1459,102,0.9008
,,,,,,,
Togekiss,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,14,11,17,1499,115,1
2,0,12,13,17,1500,116,1
3,0,10,15,17,1500,117,0.9998
4,1,12,11,17,1499,115,0.9957
5,1,14,9,17,1499,114,0.9957
6,0,13,12,17,1500,115,0.9957
7,0,13,11,17,1496,115,0.9957
8,1,10,13,17,1500,116,0.9956
9,0,15,10,17,1499,114,0.9956
10,0,15,9,17,1495,114,0.9956
11,0,11,14,17,1500,116,0.9956
12,0,11,13,17,1497,116,0.9956
13,1,8,15,17,1500,117,0.9954
14,0,9,15,17,1497,117,0.9954
15,5,14,14,16.5,1498,115,0.9922
16,4,15,15,16.5,1498,115,0.9921
17,4,15,14,16.5,1495,115,0.9921
18,2,12,9,17,1499,114,0.9915
19,2,10,11,17,1499,115,0.9914
20,1,13,10,17,1499,114,0.9914
4096,14,0,0,16.5,1458,107,0.9011
,,,,,,,
Yanmega,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,14,15,19,1497,125,1
2,1,13,15,19,1499,125,0.9984
3,0,15,14,19,1498,124,0.9978
4,0,15,13,19,1494,124,0.9978
5,1,14,14,19,1500,124,0.9963
6,1,14,13,19,1496,124,0.9963
7,2,13,13,19,1498,124,0.9947
8,0,13,15,19,1492,125,0.9941
9,1,15,12,19,1497,123,0.9941
10,3,12,13,19,1500,124,0.9931
11,2,14,12,19,1499,123,0.9925
12,1,12,15,19,1494,125,0.9925
13,0,14,14,19,1493,124,0.992
14,0,14,13,19,1490,124,0.992
15,2,11,15,19,1496,125,0.9909
16,1,13,14,19,1495,124,0.9904
17,1,13,13,19,1492,124,0.9904
18,2,15,11,19,1500,122,0.9902
19,2,15,10,19,1497,122,0.9902
20,0,8,12,19.5,1498,125,0.9901
4096,15,6,0,18.5,1461,114,0.9012
,,,,,,,
Leafeon,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,1,15,14,19,1497,103,1
2,0,5,15,19.5,1500,105,0.9969
3,2,13,14,19,1497,103,0.996
4,1,14,15,19,1498,103,0.9957
5,1,14,14,19,1494,103,0.9957
6,0,15,15,19,1494,103,0.9954
7,0,15,14,19,1490,103,0.9954
8,2,15,13,19,1499,102,0.9949
9,0,11,10,19.5,1499,102,0.9944
10,0,4,15,19.5,1497,105,0.9925
11,3,11,14,19,1498,103,0.992
12,0,6,14,19.5,1499,104,0.9918
13,0,15,7,19.5,1499,100,0.9918
14,2,12,15,19,1498,103,0.9917
15,2,12,14,19,1494,103,0.9917
16,1,13,15,19,1495,103,0.9915
17,1,13,14,19,1490,103,0.9915
18,0,14,15,19,1491,103,0.9911
19,0,14,14,19,1487,103,0.9911
20,0,8,12,19.5,1498,103,0.991
4096,15,1,4,18.5,1461,95,0.8988
,,,,,,,
Glaceon,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,15,12,18,1500,99,1
2,0,12,14,18,1498,100,0.9963
3,0,14,13,18,1500,99,0.9955
4,0,14,12,18,1496,99,0.9955
5,1,13,12,18,1499,99,0.9951
6,1,15,10,18,1497,98,0.9941
7,2,14,10,18,1500,98,0.9937
8,0,11,15,18,1499,100,0.9917
9,0,11,14,18,1494,100,0.9917
10,1,10,14,18,1497,100,0.9913
11,0,13,13,18,1497,99,0.9909
12,0,13,12,18,1493,99,0.9909
13,2,9,14,18,1500,100,0.9908
14,1,12,13,18,1500,99,0.9905
15,1,12,12,18,1496,99,0.9905
16,2,11,12,18,1498,99,0.9901
17,0,15,11,18,1495,98,0.9899
18,0,15,10,18,1491,98,0.9899
19,1,14,11,18,1498,98,0.9895
20,1,14,10,18,1494,98,0.9895
4096,15,1,3,17.5,1461,92,0.8993
,,,,,,,
Gliscor,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,1,15,14,21,1498,119,1
2,0,14,8,21.5,1498,117,0.997
3,0,12,10,21.5,1500,118,0.997
4,2,15,12,21,1498,118,0.9969
5,2,13,14,21,1500,119,0.9969
6,0,8,13,21.5,1499,120,0.9965
7,0,6,15,21.5,1500,121,0.9961
8,1,14,15,21,1499,119,0.9958
9,1,14,14,21,1495,119,0.9958
10,0,15,15,21,1494,119,0.9946
11,0,15,14,21,1490,119,0.9946
12,1,12,8,21.5,1500,117,0.9939
13,3,13,12,21,1500,118,0.9938
14,1,6,13,21.5,1500,120,0.9932
15,0,13,9,21.5,1499,117,0.9927
16,0,13,8,21.5,1495,117,0.9927
17,2,14,13,21,1499,118,0.9927
18,2,14,12,21,1495,118,0.9927
19,0,11,10,21.5,1497,118,0.9927
20,2,12,15,21,1500,119,0.9927
4096,15,0,0,20.5,1466,109,0.9006
,,,,,,,
Mamoswine,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,15,7,17,1500,137,1
2,0,10,15,17,1500,141,0.9972
3,0,10,14,17,1497,141,0.9972
4,3,15,15,16.5,1497,139,0.9967
5,1,15,5,17,1500,136,0.9967
6,0,11,13,17,1499,140,0.9965
7,0,12,11,17,1498,139,0.9957
8,1,9,14,17,1498,141,0.9949
9,0,13,10,17,1499,138,0.9948
10,0,13,9,17,1496,138,0.9948
11,4,14,15,16.5,1498,139,0.9945
12,1,10,13,17,1500,140,0.9942
13,0,14,8,17,1498,137,0.9938
14,0,14,7,17,1495,137,0.9938
15,4,15,14,16.5,1500,138,0.9935
16,4,15,13,16.5,1497,138,0.9935
17,1,11,11,17,1499,139,0.9934
18,2,15,15,16.5,1491,139,0.9927
19,0,15,6,17,1497,136,0.9927
20,0,15,5,17,1494,136,0.9927
4096,15,1,1,16.5,1458,131,0.8988
,,,,,,,
Porygon-Z,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,1,15,13,17,1500,116,1
2,0,14,15,17,1496,117,0.9987
3,1,13,15,17,1497,117,0.9964
4,0,15,14,17,1497,116,0.9962
5,0,15,13,17,1494,116,0.9962
6,2,15,11,17,1498,115,0.9951
7,2,12,15,17,1499,117,0.994
8,1,14,14,17,1499,116,0.9939
9,1,14,13,17,1495,116,0.9939
10,3,14,11,17,1499,115,0.9928
11,0,13,15,17,1492,117,0.9926
12,2,13,14,17,1500,116,0.9916
13,2,13,13,17,1496,116,0.9916
14,3,11,15,17,1499,117,0.9916
15,1,15,12,17,1496,115,0.9914
16,1,15,11,17,1492,115,0.9914
17,4,13,11,17,1500,115,0.9904
18,1,12,15,17,1493,117,0.9903
19,0,14,14,17,1493,116,0.9902
20,0,14,13,17,1489,116,0.9902
4096,15,0,0,17,1458,109,0.8994
,,,,,,,
Gallade,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,15,15,18,1496,104,1
2,1,14,15,18,1499,104,0.9994
3,2,15,13,18,1500,103,0.9987
4,0,14,15,18,1492,104,0.9952
5,1,13,15,18,1495,104,0.9947
6,1,15,14,18,1498,103,0.9946
7,1,15,13,18,1494,103,0.9946
8,2,12,15,18,1498,104,0.994
9,2,14,13,18,1497,103,0.994
10,3,13,13,18,1499,103,0.9934
11,3,11,15,18,1500,104,0.9934
12,0,14,7,18.5,1500,101,0.9934
13,3,15,11,18,1498,102,0.9932
14,0,6,14,18.5,1500,105,0.9932
15,0,13,15,18,1489,104,0.9905
16,0,15,14,18,1492,103,0.9904
17,0,15,13,18,1488,103,0.9904
18,1,12,15,18,1491,104,0.9899
19,1,14,14,18,1495,103,0.9898
20,1,14,13,18,1490,103,0.9898
4096,14,0,0,18,1463,95,0.8983
,,,,,,,
Mega Gallade,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,2,15,14,14.5,1500,85,1
2,1,15,15,14.5,1500,85,0.9967
3,1,15,14,14.5,1495,85,0.9967
4,2,14,14,14.5,1497,85,0.9955
5,3,13,14,14.5,1499,85,0.9944
6,0,15,15,14.5,1495,85,0.9933
7,0,15,14,14.5,1490,85,0.9933
8,4,12,14,14.5,1500,85,0.9932
9,1,14,15,14.5,1497,85,0.9922
10,1,14,14,14.5,1492,85,0.9922
11,3,15,12,14.5,1497,84,0.9915
12,0,15,5,15,1500,82,0.9913
13,2,13,15,14.5,1498,85,0.9911
14,2,13,14,14.5,1494,85,0.9911
15,0,7,11,15,1500,85,0.9908
16,4,14,12,14.5,1498,84,0.9904
17,0,12,7,15,1499,83,0.9899
18,3,12,15,14.5,1500,85,0.9899
19,3,12,14,14.5,1495,85,0.9899
